Distribution,RPS,Average Latency (ms),Median Latency (ms),90th Percentile (ms),99th Percentile (ms)
Uniform,10,650.9482323232323,653.0,1000.0,1010.09
Uniform,15,554.4946308724832,556.0,951.4000000000074,1042.2199999999998
Uniform,20,561.2542713567839,573.5,994.0000000000014,1067.11
Uniform,25,569.8357429718875,584.5,1012.0,1088.1100000000001
Uniform,30,578.2802142618011,600.0,1024.4,1121.0
Uniform,35,587.5799942346498,600.0,1036.0,1152.3200000000002
Uniform,40,600.1674653215637,608.0,1060.0,1197.0800000000004
Uniform,45,611.3306324555481,612.0,1075.0,1240.0
Uniform,50,622.3684749232344,623.0,1100.0,1259.0
Poisson,10,630.4915750915751,605.0,1000.6000000000001,1058.7199999999998
Poisson,15,560.6236469608659,539.5,1005.9000000000001,1088.9899999999998
Poisson,20,573.6763812993321,557.0,1012.0,1113.2100000000005
Poisson,25,615.889547813195,625.0,1063.0,1198.54
Poisson,30,617.1425306461666,613.0,1091.8000000000002,1278.7600000000002
Poisson,35,644.5903361344538,647.5,1126.0,1311.0
Poisson,40,665.9764650872818,657.0,1173.0,1367.0
Poisson,45,698.9404452943587,697.0,1229.0,1429.0
Poisson,50,715.0577905094034,715.0,1269.0,1476.0
